nse_symbol,isin_source,name_source
UPL,groww_master,nifty500_master
URBANCO,groww_master,nifty500_master
USHAMART,groww_master,nifty500_master
UTIAMC,groww_master,nifty500_master
UTLSOLAR,groww_master,groww_master
V2RETAIL,groww_master,groww_master
VAIBHAVGBL,groww_master,groww_master
VARROC,groww_master,groww_master
VBL,groww_master,nifty500_master
VEDL,groww_master,nifty500_master
VGUARD,groww_master,groww_master
VIJAYA,groww_master,nifty500_master
VIKRAMSOLR,groww_master,groww_master
VIPIND,groww_master,groww_master
VIYASH,groww_master,groww_master
VMART,groww_master,groww_master
VMM,groww_master,nifty500_master
VOLTAMP,groww_master,groww_master
VOLTAS,groww_master,nifty500_master
VTL,groww_master,nifty500_master
WAAREEENER,groww_master,nifty500_master
WAAREERTL,groww_master,groww_master
WABAG,groww_master,groww_master
WAKEFIT,groww_master,groww_master
WEBELSOLAR,groww_master,groww_master
WELCORP,groww_master,nifty500_master
WELENT,groww_master,groww_master
WELSPUNLIV,groww_master,nifty500_master
WESTLIFE,groww_master,groww_master
WEWORK,groww_master,groww_master
WHIRLPOOL,groww_master,nifty500_master
WIPRO,groww_master,nifty500_master
WOCKPHARMA,groww_master,nifty500_master
YATHARTH,groww_master,groww_master
YESBANK,groww_master,nifty500_master
ZAGGLE,groww_master,groww_master
ZEEL,groww_master,nifty500_master
ZENSARTECH,groww_master,nifty500_master
ZENTEC,groww_master,nifty500_master
ZFCVINDIA,groww_master,nifty500_master
ZYDUSLIFE,groww_master,nifty500_master
ZYDUSWELL,groww_master,nifty500_master
